title,price,author,description,Publisher,Pages,Edition,Genre,Language,Binding,Return Policy,Payment Policy,Rating
"['Hindi - Trading Candlesticks And Chart Pattern Book\xa0\xa0(Staple, Hindi, PixelPage Experts)']",['₹199'],['PixelPage Experts'],[''],['Publisher: PixelPage Publications'],['96 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['You Can\xa0\xa0(English, Paperback, Adams George Matthew)']",['₹82'],['Adams George Matthew'],[''],['Publisher: Prakash Books'],['Pages: 232'],"['Edition: 1, 2020']",['Genre: Self-Help'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Cosmos NCERT Saar Sangrah With Class VI-XII One Liner\xa0\xa0(Paperback, Hindi, Mahesh Kumar Barnwal, Kunal Verma)']",['₹375'],[''],[''],['Publisher: Cosmos Publications'],['409 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Pw Jee Mains (22 Years) and Advance Pyq (46 Years) Physics, Chemistry, Mathematics Combo\xa0\xa0(English, Paperback, unknown)']","['₹2,117']",['unknown'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Technology & Engineering'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Pw Pw Neet 12 Years Pyq Chapterwise and Topicwise Hindi\xa0\xa0(Hindi, Paperback, Kumar Gaurav)']",['₹359'],['Kumar Gaurav'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Medical'],['Language: Hindi'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Pocket English For Spoken English & All Competitive Exams, Synonyms & Antonyms Phrasal Verbs,One Word Substitution & Idioms,Daily Use Sentences & Idioms,Current Topics Conversations & Exercise (Set Of 4 Books)\xa0\xa0(Paperback, Udisha Mishra)']",['₹249'],['Udisha Mishra'],[''],['Publisher: Adda247 Publications'],['898 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Spring Board Academy Rajasthan Bhugol Book New Edition For RAS Foundation Exam The Notes Hub Rajasthan Geography Latest Update By Vijay Sihag Sir\xa0\xa0(Paperback, Hindi, Vijay Sihag Sir, Vijay Sihag)']",['₹306'],[''],[''],['Publisher: mahecha publication'],['302 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Pw Jee Mains 22 Years and Advance Pyq 46 Years Mathematics\xa0\xa0(English, Paperback, unknown)']",['₹799'],['unknown'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Technology & Engineering'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['English Speaking Course Book by Spoken English Guru  - Complete Basic to Advance Grammar & Spoken Topics\xa0\xa0(Paperback, Pooja Rana, Bikrant Rana, Aditya Rana)']",['₹220'],[''],"[""This book is the part of 90 Days English Speaking Course (Latest edition) of Spoken English Guru Brand. It's written by Aditya Sir. It's a must-buy for all Hindi medium students. This book covers complete grammar and spoken topics from basic to advanced level. The whole material is written in Hindi and English. It has a mini dictionary on the last few pages.""]",['Publisher: spoken english guru'],['Pages: 256'],"['Edition: Latest Edition 2024, 2024']",['Genre: English Education'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['Sk Jha Science\xa0\xa0(Paperback, Hindi, Sk jha)']",['₹230'],['Sk jha'],[''],['Publisher: RBD publication'],['300 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['Shri Ram Charit Manas (Gita Press, Gorakhpur) / ShriRamCharitManas / ShriRamCharit Manas / Shri RamCharitManas / Shri RamCharit Manas\xa0\xa0(Hardcover, Hindi, Shri Goswami Tulsidas)']",['₹593'],['Shri Goswami Tulsidas'],[''],"['Publisher: Gita Press, Gorakhpur']",['1049 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Speedy Current 2024-2025\xa0\xa0(Paperback, Hindi, Suchit Kumar)']",['₹135'],['Suchit Kumar'],"['Current Affairs for all type of railway recruitment exams like NTPC, Railway Group D, ALP']",['Publisher: Speedy Prakashan'],['120 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['']
"['Agniveer Indian Army Clerk & Storekeeper Book By Ankit Bhati Sir\xa0\xa0(Paperback, Hindi, Ankit Bhati)']",['₹170'],['Ankit Bhati'],[''],['Publisher: Rojgar Publication'],['284 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['The Hard Thing About Hard Things - Building A Business When There are No Easy Answers (English, paperback, Horowitz Ben)\xa0\xa0(Paperback, Horowitz Ben)']",['₹171'],[''],[''],['Publisher: Bookish'],[None],[None],[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Bhartiya Kala Evam Sanskriti (Indian Art and Culture Hindi) for UPSC | 5th Edition | Civil Services Exam | State Administrative Exams\xa0\xa0(DEHLI, Nitin Singhania)']",['₹577'],['Nitin Singhania'],[''],['Publisher: McGraw Hill'],['Pages: 632'],"['Edition: 5th Edition, 2023']",['Genre: Civil Services Exam |\n State Administrative'],[None],['Binding: DEHLI'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Rich Dad The Business School +Copycat Marketing +Question Are The Answer + The Parable Of The Pipeline+Talk The Talk +whole Stole ((Set Of 6), Hindi, Orignal Bussiness Book)\xa0\xa0(Paperback, RYTMWORLD)']",['₹259'],['RYTMWORLD'],[''],['Publisher: Dharvistore'],['1499 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['Pedda Bala Siksha Part-2\xa0\xa0(Paperback, Telugu, Satyanarayana)']",['₹250'],['Satyanarayana'],[''],['Publisher: GAJULA SATYANARAYANA'],['200 Pages'],[None],[None],['Language: Telugu'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Pw Jee Mains (22 Years) and Advance Pyq (46 Years) Physics, Chemistry, Mathematics Combo\xa0\xa0(English, Paperback, unknown)']","['₹2,117']",['unknown'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Technology & Engineering'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['The psychology of money  - paperback, Morgan housel book with 1 Disc\xa0\xa0(Paperback, Morgan housel)']",['₹225'],['Morgan housel'],[''],['Publisher: Jaico public house'],['Pages: 242'],"['Edition: 1st Edition, 2020']","['Genre: self help books, personal growth books']",[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Master Reasoning Book Verbal, Non-Verbal & Analytical\xa0\xa0(Arihant publication, Hindi, Master Reasoning Book Verbal, Non-Verbal & Analytical)']",['₹497'],[''],[''],"['Publisher: Master Reasoning Book Verbal, Non-Verbal & Analytical']",['936 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['The Laws Of Human Nature - The 48 Laws Of Power\xa0\xa0(Paperback, Robert Greene)']",['₹350'],['Robert  Greene'],"['From the 31 new times bestselling author of the 48 laws of power comes he definitive new book on decoding the behavior the behavior of the people around you robert greene is a master for millions of readers, distlling ancient wisdom and philosphy into essential texts for seekers of power understanding and mastery.']",['Publisher: SAURABH PUBLISHER OF MUMBAI'],['1104 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['3.9']
"['You Are The Placebo - Making Your Mind Matter (English, Paperback, Dispenza Joe)\xa0\xa0(Paperback, Dispenza Joe)']",['₹268'],['Dispenza Joe'],[''],['Publisher: Indian Publisher Pvt Ltd'],['387 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['(Hindi) The Parable Of The Pipeline Set Of 6 Books [unknown_binding]\xa0\xa0(Unknown, Hindi, Robert T Kyoski)']",['₹399'],['Robert T Kyoski'],[''],['Publisher: Manan'],['1000 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Pw Nta Neet Rankers Test Series 2025 Verified & Curated by Expert Faculties  - PW NTA NEET Rankers Test Series 2025\xa0\xa0(English, Paperback, unknown)']",['₹638'],['unknown'],[''],['Publisher: Physics Wallah Private Limited'],['Pages: 536'],"['Edition: 2024, 2024']",['Genre: Medical'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['The 48 Laws of Power\xa0\xa0(Paperback, Robert Greene)']",['₹249'],[''],[''],['Publisher: Profile Books'],[None],[None],[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['New NCERT Textbook Economics Combo Set 9th To 12th English Medium (5 Booklets)\xa0\xa0(Paperback, NCERT)']",['₹430'],['NCERT'],"['""New NCERT Textbook  Economics Combo Set  9th to 12th English Medium (5 Booklets) Total Booklets 5 1. Economics  2. Understanding Economics Development 3. Indian Economic Development  4. Microeconomics 5. Macroeconomics""']",['Publisher: Monika Book Stall'],['1200 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Sri Guru Charitra (Nitya Parayana Grandham) (Telugu)\xa0\xa0(Paperback, Telugu, Sri Ekkirala Bharadwaj)']",['₹150'],['Sri Ekkirala Bharadwaj'],[''],['Publisher: sri manga bharadwaja trust'],['316 Pages'],[None],[None],['Language: Telugu'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Osho Bestsellers In Hindi|- Jeevan Jine Ki Kala + Dhyan Sutra (Set of 2 Books)\xa0\xa0(Paperback, Osho)']",['₹194'],['Osho'],[''],['Publisher: Diamond Books'],['Pages: 332'],"['Edition: 1st, 2022']",['Genre: Religion & Spirituality'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Pw Cbse Class 10 Competency Based Question Bank for Board Exam l Science, Mathematics, Social Science\xa0\xa0(English, Paperback, unknown)']",['₹385'],['unknown'],[''],['Publisher: Physics Wallah Private Limited'],['Pages: 552'],"['Edition: 2024, 2024']",['Genre: Juvenile Nonfiction'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Sk Jha Science\xa0\xa0(Paperback, Hindi, Sk jha)']",['₹230'],['Sk jha'],[''],['Publisher: RBD publication'],['300 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['Holy Bible Hindi/ Small Size With Index\xa0\xa0(Rexine binding, Hindi, Bible Society)']",['₹649'],['Bible Society'],[''],['Publisher: Bible Society of India'],['1469 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Pinnacle SSC 60 Days English Vocabulary 3rd Edition\xa0\xa0(Paperback, Pinnacle Publications)']",['₹290'],['Pinnacle Publications'],"['Pinnacle ssc 60 days english vocabulary is a unique book for all ssc exams and other government exams. this is the latest book upgraded to 3rd edition, In this book 20,000 words are given. One word substitution, idioms and phrases, root words, antonyms, synonyms, spelling, homonyms, confusing words, most repeated words, new words, difficult words, last week revision plan are given. Book is divided into 60 days schedule. This book is updated till sept 2023. All ssc exams previous year questions are also covered in this book till date. Hindi meaning of words are given. This book will be highly useful for ssc cgl tier 1, ssc cgl tier 2, ssc cpo, ssc chsl, ssc mts, selection posts, ssc gd, stenographer and other competitive exams like CET, CDS, UPPCS, UPSSSC, Bihar state exams.']",['Publisher: Pinnacle Publications'],['385 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Tube English Zero To Hero Spoken English Book 2nd Edition\xa0\xa0(Paperback, Telugu, Gowthami)']",['₹317'],['Gowthami'],[''],['Publisher: Kushal Teja'],['308 Pages'],[None],[None],['Language: Telugu'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Bharat Ki Rajvyavastha (Indian Polity Hindi ) for UPSC| 7th Edition | Civil Services Exam | State Administrative Exams  - Mpsc with 1 Disc\xa0\xa0(Hindi, Paperback, Laxmikanth M.)']",['₹666'],['Laxmikanth M.'],[''],['Publisher: McGraw Hill Education India'],['Pages: 744'],"['Edition: 7, 2023']",['Genre: Education'],['Language: Hindi'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Oswaal CBSE Sample Question Papers Class 9 Mathematics Book (For 2025 Exam)\xa0\xa0(Paperback, Oswaal Editorial Board)']",['₹249'],['Oswaal Editorial Board'],"['This product covers the following:\n•Fresh & Relevant with the Latest Typologies of Questions\n•Score Boosting Insights with 400 Questions & 150 Concepts(approx.)\n•Insider Tips & Techniques with On-Tips Notes, Mind Maps & Mnemonics\n•Exam Ready to Practice with 5 Solved & 5 Self-Assessment Papers']",['Publisher: Oswaal Books And Learning Private Limited'],['Pages: 128'],"['Edition: New, 2024']",[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Abhyas (Practice) Paper Set (50 Paper) For Bhartiya Thal Sena (Indian Army) General Duty GD NER Hindi Medium 2020-21\xa0\xa0(Paperback, Hindi, Ram Singh Yadav, Yajvender Yadav)']",['₹160'],[''],[''],['Publisher: Shri Krishan Publishers'],['240 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Holy Bible Hindi/ Small Size With Index\xa0\xa0(Rexine binding, Hindi, Bible Society)']",['₹649'],['Bible Society'],[''],['Publisher: Bible Society of India'],['1469 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Srimad Bhagavad Gita\xa0\xa0(Hardcover, Hindi, SHRI SHRIMAD A.C BHAKTI VEDANT SWAMI PARBHUPAD)']",['₹239'],['SHRI SHRIMAD A.C BHAKTI VEDANT SWAMI PARBHUPAD'],[''],['Publisher: BHAKTI VEDANT BOOK TRUST'],['644 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Quantitative Aptitude for CAT | 11th Edition (Latest) | Quant | CAT Preparation Exam Book 2025 | Previous Years Solved Papers (PYQ) | McGraw Hill edge Access: Mock Tests, Expert Sessions & Strategies\xa0\xa0(Paperback, Arun Sharma)']",['₹608'],['Arun Sharma'],[''],['Publisher: McGraw Hill'],['Pages: 910'],"['Edition: 11, 2024']",['Genre: Book'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['UPSSSC MAINS Computer & IT Special Chapter Wise Solved Paper_VPO/STENOGRAPHER/Junior Assistant/Auditor & Assistant Accountant\xa0\xa0(Paperback, Hindi, Yct)']",['₹180'],['Yct'],['Upsssc computer solved papers'],"[""Publisher: Youth Competition Time's""]",['192 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Dark Horse (Hindi, Paperback, Mrinal Nilotpal)\xa0\xa0(Paperback, Mrinal Nilotpal)']",['₹132'],['Mrinal Nilotpal'],[''],['Publisher: Mrinal Nilotpal'],['300 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['(LAB TECNICIAN) MCQs IN D.M.L.T. FOR COMPETITIVE EXAM. (HINDI)\xa0\xa0(Paperbeck, Hindi, Dr. Payal Soan, Priyanka Rajput, Dr.Chitra Jain, Govind Prasad Sharma)']",['₹248'],[''],[''],['Publisher: Vardhan Publishers & Distributors'],['340 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4']
"[""Ssc Je, Pre Mains, AE Upsc Ae, PSU,rrb Je, Upsssc,state Psc GATE, IES Civil Engineering Smart Scan English Medium\xa0\xa0(BOOK, Youth Competition Time's)""]",['₹620'],"[""Youth Competition Time's""]",[''],"[""Publisher: Youth Competition Time's""]",['656 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Psychology Of Money & Rich Dad Poor Dad\xa0\xa0(Paper pack, Robert T. Kiyosaki, Morgan Housel)']",['₹295'],[''],[''],['Publisher: Domestic90'],['600 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Pw Neet 37 Years Chemistry\xa0\xa0(English, Paperback, Kumar Gaurav)']",['₹259'],['Kumar Gaurav'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Medical'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['RRB NTPC Science Book By Ankit Bhati Sir RWA\xa0\xa0(Paperback, Hindi, ankit bhati)']",['₹192'],['ankit bhati'],[''],['Publisher: rojgar Publication'],['308 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['BPSC(Pt) 2023-20 Model Paper\xa0\xa0(Paperback, Hindi, Khan Sir)']",['₹359'],['Khan Sir'],['20 Practice Set and 8 previous Year Questions Paper by Khan Sir'],['Publisher: RBD Publications'],['325 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['English Speaking Course Book by Spoken English Guru  - Complete Basic to Advance Grammar & Spoken Topics\xa0\xa0(Paperback, Pooja Rana, Bikrant Rana, Aditya Rana)']",['₹220'],[''],"[""This book is the part of 90 Days English Speaking Course (Latest edition) of Spoken English Guru Brand. It's written by Aditya Sir. It's a must-buy for all Hindi medium students. This book covers complete grammar and spoken topics from basic to advanced level. The whole material is written in Hindi and English. It has a mini dictionary on the last few pages.""]",['Publisher: spoken english guru'],['Pages: 256'],"['Edition: Latest Edition 2024, 2024']",['Genre: English Education'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['Bhartiya Kala Evam Sanskriti (Indian Art and Culture Hindi) for UPSC | 5th Edition | Civil Services Exam | State Administrative Exams\xa0\xa0(DEHLI, Nitin Singhania)']",['₹577'],['Nitin Singhania'],[''],['Publisher: McGraw Hill'],['Pages: 632'],"['Edition: 5th Edition, 2023']",['Genre: Civil Services Exam |\n State Administrative'],[None],['Binding: DEHLI'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Samanya Vigyan / General Science Old Solved Papers 1990 To 2021 Useful For Railway SSC UPSC NDA CDS KVS PGT TGT NET Etc\xa0\xa0(Paperback, Hindi, Khan Sir)']",['₹368'],['Khan Sir'],[''],['Publisher: RBD PUBLICATION'],['1190 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Shri Ram Charit Manas (Gita Press, Gorakhpur) / ShriRamCharitManas / ShriRamCharit Manas / Shri RamCharitManas / Shri RamCharit Manas\xa0\xa0(Hardcover, Hindi, Shri Goswami Tulsidas)']",['₹593'],['Shri Goswami Tulsidas'],[''],"['Publisher: Gita Press, Gorakhpur']",['1049 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Reasoning Book With Piyush Varshney (Hindi Medium)\xa0\xa0(Paperback, Hindi, Piyush varshney)']",['₹600'],['Piyush varshney'],[''],['Publisher: Pv publication'],['672 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Reasoning Book With Piyush Varshney (Hindi Medium) (Paperback, Hindi, Varshney, Piyush) BEST REASONING BOOK FOR EXAMINATIONS\xa0\xa0(paper back Varshney, Piyush, Hindi, Varshney, Piyush)']",['₹520'],[''],[''],['Publisher: PV Publication'],['672 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['Shrimad Bhagwat Geeta Yathroop In Hindi\xa0\xa0(Hardcover, Hindi, A.C BHAKTIVEDANT SWAMI SHRILA PRABHUPAD)']",['₹265'],['A.C BHAKTIVEDANT SWAMI SHRILA PRABHUPAD'],[''],['Publisher: BHAKTIVEDANT BOOK TRUST'],['644 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['General Practice Guide 3rd Edition\xa0\xa0(Perfect Paper Back, Hindi, Dr Amritesh Kumar)']",['₹309'],['Dr Amritesh Kumar'],[''],['Publisher: Hindu Chikitsa Awm Takniki Mhavidyalay'],['328 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Use Full All Competitive Exam Best Book Khan Sir Physics, Chemistry, Biology\xa0\xa0(Photocopy, Hindi, Khan Sir)']",['₹300'],['Khan Sir'],['Use full for All competitive Exams.'],['Publisher: Khan Gs publication'],['400 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Utkarsh Current Affairs Varshikank 2024 New Edition\xa0\xa0(Paperback, Hindi, kumar gurav)']",['₹220'],['kumar gurav'],[''],['Publisher: utkarsh'],['155 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['']
"['Pw Jee Mains (22 Years) and Advance Pyq (46 Years) Physics, Chemistry, Mathematics Combo\xa0\xa0(English, Paperback, unknown)']","['₹2,117']",['unknown'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Technology & Engineering'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Pw Pw Neet 12 Years Pyq Chapterwise and Topicwise Hindi\xa0\xa0(Hindi, Paperback, Kumar Gaurav)']",['₹359'],['Kumar Gaurav'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Medical'],['Language: Hindi'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Shatter Me Series Collection 9 Books Set By Tahereh Mafi(Unite Me, Believe Me, Imagine Me, Find Me, Unravel Me, Unravel Me, Defy Me, Restore Me, Ignite Me)\xa0\xa0(Paperback, Tahereh Mafi)']","['₹1,166']",['Tahereh Mafi'],['Shatter me Box set'],['Publisher: Electric monkey'],['2400 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['WBTA Higher Secondary Test Papers 2025 - HS Test Paper Class 12 For Exam Preparation Art & Commerce\xa0\xa0(Paperback, Bengali, West Bengal Teachers Association)']",['₹395'],['West Bengal Teachers Association'],[''],['Publisher: Siksha Prakashani'],['600 Pages'],[None],[None],['Language: Bengali'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['']
"['Electrical Engineering Quick Revision Capsule\xa0\xa0(Paperback, Youth Competition Times)']",['₹195'],['Youth Competition Times'],['Electrical Engineering Quick Revision Capsule'],['Publisher: Youth Competition Times'],['208 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['G.S. Nidhi\xa0\xa0(Paperback, Hindi, ANKIT BHATI SIR)']",['₹238'],['ANKIT BHATI SIR'],[''],['Publisher: ROJGAR PUBLICATION'],['383 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['PW 37 Years NEET Previous Year Solved Question Papers Physics, Chemistry and Biology Combo Set of 3 Books PYQs Chapterwise Topicwise Solutions For NEET Exam 2025 with Newly Added Topics\xa0\xa0(Paperback, PW)']",['₹851'],['PW'],[''],['Publisher: physicswallah'],[None],"['Edition: 2024, 2024']",[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Osho Bestsellers In Hindi|- Jeevan Jine Ki Kala + Dhyan Sutra (Set of 2 Books)\xa0\xa0(Paperback, Osho)']",['₹194'],['Osho'],[''],['Publisher: Diamond Books'],['Pages: 332'],"['Edition: 1st, 2022']",['Genre: Religion & Spirituality'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Practice Sets Books Reasoning (100 Practice Sets)\xa0\xa0(Paperback, Piyush Varshney)']",['₹325'],['Piyush Varshney'],[''],['Publisher: Rakesh Yadav Readers Publication'],['328 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Technical Analysis Aur Candlestick Ki Pehchan - Guide To Technical Analysis & Candlesticks ( Hindi )\xa0\xa0(Paperback, Hindi, Ravi Patel)']",['₹225'],['Ravi Patel'],['Table Of Contents Basics of Technical Analysis Introduction to Candlesticks Introduction to Chart Patterns Introduction to Technical Indicators Stop Loss Theory Stock Selection Strategies Case Studies on Technical Analysis Source of Information And many other Important Chapters Covered.'],['Publisher: Buzzingstock Publishing House'],['224 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
"['CAT Exam 2025 book combo by Arun Sharma (Set of 4 books) - Quantitative Aptitude + Verbal Ability and Reading Comprehension + Logical Reasoning + Data Interpretation| Latest editions\xa0\xa0(Paperback, Arun Sharma, Meenakshi Upadhyay)']","['₹2,295']","['Arun Sharma, Meenakshi Upadhyay']",[''],['Publisher: McGraw Hill'],['Pages: 2968'],['Edition: 2024'],[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Pw Cbse Class 10 Competency Based Question Bank for Board Exam l Science, Mathematics, Social Science\xa0\xa0(English, Paperback, unknown)']",['₹385'],['unknown'],[''],['Publisher: Physics Wallah Private Limited'],['Pages: 552'],"['Edition: 2024, 2024']",['Genre: Juvenile Nonfiction'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Khan Sir History Book\xa0\xa0(Paperback, Hindi, Khan sir)']",['₹183'],['Khan sir'],[''],['Publisher: Khan Global Studies'],['166 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Information Technology Class 10 CBSE Question Bank With Sample Papers For 2025 Board Exams By Master Mind Question Bank With 50% Competency-Based, 30% Response-Type, And 20% Constructive-Type Questions\xa0\xa0(Paperback, Blueprint Editorial Board)']",['₹199'],['Blueprint Editorial Board'],[''],['Publisher: Blueprint Education'],['168 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Mechanical Engineering Capsule For Quick Revision\xa0\xa0(Paperback, Youth Competition Times)']",['₹180'],['Youth Competition Times'],['Civil Engineering JE/AE Chapterwise Solved Papers Exam Planner Vol 4'],['Publisher: Youth Competition Times'],['176 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.1']
